geoid,county,lat,lng,pop
061130101021,Yolo,38.6775589,-121.6036322,1815
061130101031,Yolo,38.595382,-121.5362317,1182
061130101032,Yolo,38.5894179,-121.5348102,2549
061130101033,Yolo,38.5987101,-121.5326977,1314
061130101041,Yolo,38.5903215,-121.5185102,2480
061130101042,Yolo,38.5935996,-121.51556,312
061130101043,Yolo,38.5938159,-121.5231069,2237
061130101044,Yolo,38.5974877,-121.5159572,1170
061130101051,Yolo,38.5857524,-121.5157731,1321
061130102011,Yolo,38.5739048,-121.5208784,2112
061130102012,Yolo,38.5645544,-121.5317069,1260
061130102031,Yolo,38.5792582,-121.5629013,615
061130102032,Yolo,38.5835464,-121.54236,2917
061130102033,Yolo,38.5773491,-121.5427936,2355
061130102034,Yolo,38.5665836,-121.5625991,200
061130102041,Yolo,38.5819387,-121.532017,1598
061130102042,Yolo,38.5780468,-121.5319265,352
061130102043,Yolo,38.5718763,-121.532916,2493
061130102044,Yolo,38.5853751,-121.5326736,1173
061130103101,Yolo,38.5485961,-121.5736467,1109
061130103102,Yolo,38.5456821,-121.5628696,3000
061130103103,Yolo,38.5365762,-121.5714339,574
061130103104,Yolo,38.5413436,-121.571171,1679
061130103121,Yolo,38.5425461,-121.5549191,3002
061130103122,Yolo,38.5488443,-121.5481635,1628
061130103123,Yolo,38.543882,-121.550407,1066
061130103131,Yolo,38.5559955,-121.5238671,1842
061130103132,Yolo,38.5476753,-121.5214829,2996
061130103141,Yolo,38.5380007,-121.5305826,2056
061130103151,Yolo,38.5505498,-121.5445511,1207
061130104011,Yolo,38.3970638,-121.6055866,1462
061130104012,Yolo,38.544019,-121.6851681,1013
061130104013,Yolo,38.5507551,-121.6892795,895
061130104014,Yolo,38.5125642,-121.6400653,1342
061130104021,Yolo,38.5067186,-121.5643004,1893
061130104022,Yolo,38.5289814,-121.5682227,2745
061130105011,Yolo,38.5366941,-121.7958539,2447
061130105012,Yolo,38.5374951,-121.7572653,6150
061130105051,Yolo,38.5659597,-121.8232763,224
061130105052,Yolo,38.6032337,-121.7059355,1606
061130105053,Yolo,38.5781733,-121.7044464,2046
061130105054,Yolo,38.5656063,-121.726786,1238
061130105081,Yolo,38.5583592,-121.7900285,1301
061130105082,Yolo,38.5520868,-121.7969062,1218
061130105091,Yolo,38.5638672,-121.7551808,1276
061130105092,Yolo,38.5649366,-121.7481908,1880
061130105101,Yolo,38.5799235,-121.7590739,723
061130105102,Yolo,38.5659371,-121.7613509,2342
061130105103,Yolo,38.5636774,-121.7650962,1559
061130105104,Yolo,38.5706141,-121.7522723,1042
061130105111,Yolo,38.5575369,-121.7832791,1135
061130105112,Yolo,38.5580402,-121.7759371,2251
061130105121,Yolo,38.5547028,-121.7697288,2050
061130105122,Yolo,38.5511603,-121.7751095,1449
061130105131,Yolo,38.5502582,-121.7816342,867
061130105132,Yolo,38.5496709,-121.7859699,2279
061130106021,Yolo,38.5550425,-121.7394423,990
061130106022,Yolo,38.5483069,-121.7365345,1033
061130106023,Yolo,38.5493629,-121.7306287,1196
061130106024,Yolo,38.5396081,-121.7385692,1502
061130106025,Yolo,38.5574591,-121.7378224,1139
061130106051,Yolo,38.5606398,-121.7042208,2365
061130106052,Yolo,38.5546521,-121.7013008,1171
061130106071,Yolo,38.549321,-121.7011089,924
061130106072,Yolo,38.5454235,-121.7099734,1025
061130106073,Yolo,38.5363062,-121.7017831,978
061130106074,Yolo,38.5446374,-121.7026073,1177
061130106081,Yolo,38.5450034,-121.7193701,1559
061130106082,Yolo,38.5390841,-121.7216966,2100
061130106083,Yolo,38.5416406,-121.7155072,963
061130106084,Yolo,38.5398826,-121.7310036,1267
061130106091,Yolo,38.5608003,-121.7155358,831
061130106092,Yolo,38.5602327,-121.7241017,1602
061130106101,Yolo,38.5519499,-121.7144566,1550
061130106102,Yolo,38.5529869,-121.722515,2481
061130106111,Yolo,38.5566096,-121.7316096,1506
061130107011,Yolo,38.5536621,-121.7490798,1166
061130107012,Yolo,38.5547508,-121.7438069,2100
061130107013,Yolo,38.5490748,-121.7431899,550
061130107014,Yolo,38.5446986,-121.7424055,774
061130107031,Yolo,38.5590281,-121.7642598,1144
061130107032,Yolo,38.5551858,-121.7618522,1076
061130107033,Yolo,38.5507453,-121.7660348,1857
061130107034,Yolo,38.5490349,-121.7618737,1526
061130107041,Yolo,38.5536241,-121.7555763,2643
061130108001,Yolo,38.6882923,-121.7699321,1249
061130108002,Yolo,38.680836,-121.770688,1365
061130108003,Yolo,38.6844912,-121.7564586,713
061130109011,Yolo,38.6894108,-121.7964491,2728
061130109012,Yolo,38.6874583,-121.7897041,1457
061130109013,Yolo,38.6883466,-121.7792315,1451
061130109021,Yolo,38.6812711,-121.7978766,2096
061130109022,Yolo,38.6811924,-121.7886106,2361
061130109023,Yolo,38.6811301,-121.7793251,1766
061130110011,Yolo,38.672587,-121.7982921,2344
061130110012,Yolo,38.673359,-121.7886361,2220
061130110013,Yolo,38.6738643,-121.7794081,1701
061130110021,Yolo,38.6656854,-121.7972929,1222
061130110022,Yolo,38.6660921,-121.7888455,882
061130110023,Yolo,38.6665766,-121.7794832,1061
061130111011,Yolo,38.6738066,-121.7701116,1716
061130111012,Yolo,38.6665252,-121.7702119,1565
061130111021,Yolo,38.6728251,-121.7584052,1778
061130111022,Yolo,38.6655786,-121.7609974,1982
061130111023,Yolo,38.6728629,-121.7630387,1400
061130111031,Yolo,38.672766,-121.7515885,2160
061130111032,Yolo,38.6654924,-121.751737,1388
061130112031,Yolo,38.6595641,-121.7981007,2439
061130112032,Yolo,38.6594477,-121.7888571,907
061130112041,Yolo,38.659329,-121.7794746,1744
061130112042,Yolo,38.6593431,-121.7702211,2137
061130112043,Yolo,38.6592241,-121.756524,2078
061130112071,Yolo,38.6394189,-121.8382065,1157
061130112072,Yolo,38.6791008,-121.8661924,1384
061130112081,Yolo,38.6449826,-121.7388609,1983
061130112082,Yolo,38.6556833,-121.7376289,4818
061130112083,Yolo,38.6758127,-121.6979197,960
061130112091,Yolo,38.673836,-121.7359653,1773
061130112092,Yolo,38.6647449,-121.733756,1763
061130112101,Yolo,38.6655764,-121.7447097,1058
061130112102,Yolo,38.670914,-121.7421174,1519
061130112111,Yolo,38.6668092,-121.7371059,1921
061130113011,Yolo,38.5762605,-122.0429534,883
061130113012,Yolo,38.5743198,-121.909467,1171
061130113021,Yolo,38.5324906,-121.9955376,435
061130113023,Yolo,38.5271484,-121.9793007,3209
061130113031,Yolo,38.515675,-121.9797557,1749
061130113041,Yolo,38.5257239,-121.9612001,1370
061130114001,Yolo,38.7914977,-121.9434365,1357
061130114002,Yolo,38.8611611,-121.8537785,1676
061130114003,Yolo,38.7681719,-121.77288,1146
061130115001,Yolo,38.7811341,-122.2207902,615
061130115002,Yolo,38.8142497,-122.098149,514
061130115003,Yolo,38.6950165,-122.0279584,2113
061130115004,Yolo,38.6846706,-122.0351554,1409
061130115005,Yolo,38.6515724,-121.9550142,1006
060014001001,Alameda,37.8698744,-122.2336204,1975
060014001002,Alameda,37.8571075,-122.2236121,1294
060014002001,Alameda,37.8497451,-122.2488478,948
060014002002,Alameda,37.8465865,-122.2503095,1199
060014003001,Alameda,37.8439848,-122.2486668,1300
060014003002,Alameda,37.8377261,-122.2546898,1707
060014003003,Alameda,37.8404129,-122.2598022,1096
060014003004,Alameda,37.8402856,-122.2541313,1516
060014004001,Alameda,37.8500898,-122.2549722,1249
060014004002,Alameda,37.8448409,-122.2590489,1314
060014004003,Alameda,37.850124,-122.258756,1715
060014005001,Alameda,37.8488953,-122.263197,2225
060014005002,Alameda,37.8465131,-122.2670453,1019
060014005003,Alameda,37.8501477,-122.2673647,705
060014006001,Alameda,37.8432924,-122.264538,1140
060014006002,Alameda,37.8403392,-122.2653325,918
060014007001,Alameda,37.8453741,-122.2731738,1161
060014007002,Alameda,37.8426024,-122.2723537,1703
060014007003,Alameda,37.8403773,-122.2719191,576
060014007004,Alameda,37.8382287,-122.2715499,1318
060014008001,Alameda,37.8481122,-122.284845,1526
060014008002,Alameda,37.845306,-122.2823718,1384
060014008003,Alameda,37.8427178,-122.2823241,1425
060014009001,Alameda,37.8405394,-122.279486,1429
060014009002,Alameda,37.8382454,-122.2810521,1415
060014010001,Alameda,37.8358374,-122.2696518,820
060014010002,Alameda,37.8340002,-122.2711304,1763
060014010003,Alameda,37.8324599,-122.2723196,1249
060014010004,Alameda,37.8291541,-122.269251,377
060014010005,Alameda,37.8266648,-122.2728252,1130
060014010006,Alameda,37.8298623,-122.2746377,938
060014011001,Alameda,37.8342872,-122.2615934,588
060014011002,Alameda,37.8292817,-122.2625471,1565
060014011003,Alameda,37.8252566,-122.2647775,1286
060014011004,Alameda,37.83246,-122.2651732,2098
060014012001,Alameda,37.8337575,-122.2568764,1468
060014012002,Alameda,37.8297224,-122.2578313,746
060014012003,Alameda,37.8257833,-122.259788,780
060014013001,Alameda,37.8209026,-122.2653979,1462
060014013002,Alameda,37.8151809,-122.2698957,1359
060014013003,Alameda,37.8151016,-122.2664711,1787
060014014001,Alameda,37.8241073,-122.2730896,1616
060014014002,Alameda,37.8215161,-122.2739495,2690
060014014003,Alameda,37.8166863,-122.2731129,1086
060014015001,Alameda,37.8252342,-122.2802269,1287
060014015002,Alameda,37.8226985,-122.2806797,897
060014015003,Alameda,37.8208899,-122.2809889,851
060014016001,Alameda,37.8184286,-122.2816672,1294
060014016002,Alameda,37.8158604,-122.281218,1109
060014017001,Alameda,37.811018,-122.3018978,1389
060014017002,Alameda,37.8154492,-122.2948134,805
060014017003,Alameda,37.8211039,-122.3152527,1082
060014018001,Alameda,37.8108844,-122.2971077,809
060014018002,Alameda,37.8080311,-122.29949,900
060014022001,Alameda,37.8106203,-122.2931358,1137
060014022002,Alameda,37.8064756,-122.2955189,600
060014022003,Alameda,37.804302,-122.2977879,600
060014024001,Alameda,37.8134127,-122.2819507,1106
060014024002,Alameda,37.8103981,-122.2830561,1517
060014025001,Alameda,37.8066561,-122.2844438,1190
060014025002,Alameda,37.8033357,-122.285651,820
060014026001,Alameda,37.80427,-122.2799551,1300
060014027001,Alameda,37.8098183,-122.2757415,789
060014027002,Alameda,37.8108456,-122.2784518,1250
